"","NVC_Class","NCells","State"
"677",6212,515465,"Minnesota"
"678",6213,69095,"Minnesota"
"679",6228,2521884,"Minnesota"
"680",6230,4028576,"Minnesota"
"681",6231,2997818,"Minnesota"
"682",6232,2661228,"Minnesota"
"683",6238,161653,"Minnesota"
"684",6251,5646,"Minnesota"
"685",6305,179226,"Minnesota"
"686",6310,158,"Minnesota"
"687",6317,8676,"Minnesota"
"688",6318,56,"Minnesota"
"689",6325,217,"Minnesota"
"690",6329,102,"Minnesota"
"691",6437,21445,"Minnesota"
"692",6438,32437,"Minnesota"
"693",6450,4761753,"Minnesota"
"694",6451,419481,"Minnesota"
"695",6501,128190,"Minnesota"
"696",6502,49320,"Minnesota"
"697",6576,27,"Minnesota"
"698",6592,15,"Minnesota"
"699",6593,1414,"Minnesota"
"700",6609,49001,"Minnesota"
"701",6613,859494,"Minnesota"
"702",6631,266707,"Minnesota"
"703",7191,538183,"Minnesota"
"704",7192,213165,"Minnesota"
"705",7193,768345,"Minnesota"
"706",7195,180809,"Minnesota"
"707",7196,64467,"Minnesota"
"708",7197,143282,"Minnesota"
"709",7198,42673,"Minnesota"
"710",7199,17061,"Minnesota"
"711",7200,77449,"Minnesota"
"712",7292,34059976,"Minnesota"
"713",7295,180850,"Minnesota"
"714",7296,2384625,"Minnesota"
"715",7297,1199794,"Minnesota"
"716",7298,489542,"Minnesota"
"717",7299,9318170,"Minnesota"
"718",7900,146737,"Minnesota"
"719",7901,22533,"Minnesota"
"720",7902,57937,"Minnesota"
"721",7903,1056295,"Minnesota"
"722",7904,189807,"Minnesota"
"723",7905,1115293,"Minnesota"
"724",7906,372049,"Minnesota"
"725",7907,939185,"Minnesota"
"726",7908,1707357,"Minnesota"
"727",7909,886624,"Minnesota"
"728",7920,27029,"Minnesota"
"729",7921,178,"Minnesota"
"730",7922,19251,"Minnesota"
"731",7923,2171,"Minnesota"
"732",7924,137835,"Minnesota"
"733",7930,958773,"Minnesota"
"734",7931,286333,"Minnesota"
"735",7932,601851,"Minnesota"
"736",7933,186384,"Minnesota"
"737",7934,1637497,"Minnesota"
"738",7940,1420,"Minnesota"
"739",7942,7069,"Minnesota"
"740",7943,163,"Minnesota"
"741",7944,17069,"Minnesota"
"742",7950,3,"Minnesota"
"743",7951,352,"Minnesota"
"744",7952,304056,"Minnesota"
"745",7953,26219,"Minnesota"
"746",7954,251973,"Minnesota"
"747",7960,1,"Minnesota"
"748",7961,193,"Minnesota"
"749",7964,59543756,"Minnesota"
"750",7965,2552185,"Minnesota"
"751",7966,85388,"Minnesota"
"752",7967,3513077,"Minnesota"
"753",7968,6826198,"Minnesota"
"754",7970,6398,"Minnesota"
"755",7971,175,"Minnesota"
"756",7972,74,"Minnesota"
"757",7973,10380,"Minnesota"
"758",7974,45753255,"Minnesota"
"759",7975,9052873,"Minnesota"
"760",7976,63043,"Minnesota"
"761",7977,12110843,"Minnesota"
"762",7978,974344,"Minnesota"
"763",7979,20,"Minnesota"
"764",9312,913229,"Minnesota"
"765",9314,520404,"Minnesota"
"766",9315,2692243,"Minnesota"
"767",9317,816735,"Minnesota"
"768",9318,1601941,"Minnesota"
"769",9816,557972,"Minnesota"
"770",9817,11014331,"Minnesota"
"771",6035,124352,"South Dakota"
"772",6036,408824,"South Dakota"
"773",6037,3451,"South Dakota"
"774",6038,1349,"South Dakota"
"775",6039,910926,"South Dakota"
"776",6040,443262,"South Dakota"
"777",6061,25,"South Dakota"
"778",6062,7170544,"South Dakota"
"779",6063,84,"South Dakota"
"780",6066,88091,"South Dakota"
"781",6072,32253,"South Dakota"
"782",6100,596414,"South Dakota"
"783",6102,111953,"South Dakota"
"784",6117,46521,"South Dakota"
"785",6149,61087,"South Dakota"
"786",6153,981614,"South Dakota"
"787",6155,9178782,"South Dakota"
"788",6156,8567978,"South Dakota"
"789",6157,77757893,"South Dakota"
"790",6159,11630365,"South Dakota"
"791",6160,594150,"South Dakota"
"792",6161,931702,"South Dakota"
"793",6163,1033377,"South Dakota"
"794",6164,1920918,"South Dakota"
"795",6165,1126761,"South Dakota"
"796",6199,13,"South Dakota"
"797",6209,14596,"South Dakota"
"798",6228,3334,"South Dakota"
"799",6231,862853,"South Dakota"
"800",6232,1,"South Dakota"
"801",6234,282458,"South Dakota"
"802",6237,17164,"South Dakota"
"803",6238,1743528,"South Dakota"
"804",6240,57937,"South Dakota"
"805",6242,31,"South Dakota"
"806",6243,17431,"South Dakota"
"807",6251,18474,"South Dakota"
"808",6252,23531,"South Dakota"
"809",6285,2,"South Dakota"
"810",6286,1471518,"South Dakota"
"811",6287,1705942,"South Dakota"
"812",6288,4114,"South Dakota"
"813",6290,31568,"South Dakota"
"814",6305,4265,"South Dakota"
"815",6310,2385,"South Dakota"
"816",6313,11565,"South Dakota"
"817",6317,1956449,"South Dakota"
"818",6318,31085,"South Dakota"
"819",6437,1928,"South Dakota"
"820",6438,177,"South Dakota"
"821",6502,358,"South Dakota"
"822",6557,1784792,"South Dakota"
"823",6576,589,"South Dakota"
"824",6631,78,"South Dakota"
"825",6637,7347803,"South Dakota"
"826",7191,59674,"South Dakota"
"827",7192,45670,"South Dakota"
"828",7193,120233,"South Dakota"
"829",7195,147824,"South Dakota"
"830",7196,49818,"South Dakota"
"831",7197,57756,"South Dakota"
"832",7198,3555,"South Dakota"
"833",7199,1957,"South Dakota"
"834",7200,21174,"South Dakota"
"835",7292,6192811,"South Dakota"
"836",7295,43379,"South Dakota"
"837",7296,496907,"South Dakota"
"838",7297,193797,"South Dakota"
"839",7298,63451,"South Dakota"
"840",7299,4660969,"South Dakota"
"841",7900,232795,"South Dakota"
"842",7901,63105,"South Dakota"
