"","NVC_Class","NCells","State"
"862",7938,36386,"NC"
"863",7939,599954,"NC"
"864",7950,14054,"NC"
"865",7951,19213,"NC"
"866",7952,330484,"NC"
"867",7953,1361,"NC"
"868",7954,82198,"NC"
"869",7957,133155,"NC"
"870",7958,148,"NC"
"871",7959,1544,"NC"
"872",7970,67998,"NC"
"873",7971,1721,"NC"
"874",7972,11365,"NC"
"875",7973,70540,"NC"
"876",7974,16764398,"NC"
"877",7975,1700360,"NC"
"878",7976,1306704,"NC"
"879",7977,6456197,"NC"
"880",7978,194833,"NC"
"881",7979,3864,"NC"
"882",9312,26505,"NC"
"883",9314,1076,"NC"
"884",9315,604873,"NC"
"885",9317,19226,"NC"
"886",9318,990,"NC"
"887",9319,409,"NC"
"888",9320,138849,"NC"
"889",9321,6733281,"NC"
"890",9322,9473323,"NC"
"891",9323,140082,"NC"
"892",9324,39039,"NC"
"893",9817,162494,"NC"
"894",9823,1551759,"NC"
"895",NA,148933568,"NC"
"896",-9999,1902,"VT"
"897",6029,2809,"VT"
"898",6030,313,"VT"
"899",6031,31587,"VT"
"900",6036,5755,"VT"
"901",6043,12698600,"VT"
"902",6044,3281505,"VT"
"903",6045,3186724,"VT"
"904",6047,8306,"VT"
"905",6049,174986,"VT"
"906",6052,15011,"VT"
"907",6098,72907,"VT"
"908",6101,169598,"VT"
"909",6103,112,"VT"
"910",6105,400415,"VT"
"911",6106,190882,"VT"
"912",6129,520,"VT"
"913",6130,15188,"VT"
"914",6177,36,"VT"
"915",6189,3071,"VT"
"916",6197,3,"VT"
"917",6209,3979,"VT"
"918",6211,21041,"VT"
"919",6212,17015,"VT"
"920",6213,25,"VT"
"921",6228,114355,"VT"
"922",6230,50801,"VT"
"923",6292,748,"VT"
"924",6310,13,"VT"
"925",6326,723,"VT"
"926",6450,298166,"VT"
"927",6451,246969,"VT"
"928",6501,10785,"VT"
"929",6503,5,"VT"
"930",6577,38,"VT"
"931",6590,5257,"VT"
"932",6593,2,"VT"
"933",6613,2143,"VT"
"934",6630,10269,"VT"
"935",6692,42,"VT"
"936",6827,6637,"VT"
"937",7191,43737,"VT"
"938",7192,12098,"VT"
"939",7193,41405,"VT"
"940",7195,857,"VT"
"941",7196,118,"VT"
"942",7197,319,"VT"
"943",7198,431,"VT"
"944",7199,35,"VT"
"945",7200,796,"VT"
"946",7292,1124960,"VT"
"947",7295,9167,"VT"
"948",7296,272708,"VT"
"949",7297,118632,"VT"
"950",7298,34045,"VT"
"951",7299,752656,"VT"
"952",7905,142189,"VT"
"953",7906,91077,"VT"
"954",7907,134633,"VT"
"955",7908,218231,"VT"
"956",7909,57726,"VT"
"957",7930,202198,"VT"
"958",7931,89396,"VT"
"959",7932,179572,"VT"
"960",7933,55912,"VT"
"961",7934,129921,"VT"
"962",7951,16,"VT"
"963",7952,36721,"VT"
"964",7953,1478,"VT"
"965",7954,11797,"VT"
"966",7970,11277,"VT"
"967",7973,1092,"VT"
"968",7974,445760,"VT"
"969",7975,22299,"VT"
"970",7976,21844,"VT"
"971",7977,1936496,"VT"
"972",7978,650,"VT"
"973",9312,103720,"VT"
"974",9314,8736,"VT"
"975",9315,133144,"VT"
"976",9317,45818,"VT"
"977",9318,5184,"VT"
"978",9817,123699,"VT"
"979",NA,19203087,"VT"
"980",6029,139208,"CT"
"981",6030,3809,"CT"
"982",6031,2751623,"CT"
"983",6032,463716,"CT"
"984",6036,1085415,"CT"
"985",6043,1014505,"CT"
"986",6044,117454,"CT"
"987",6045,2283,"CT"
"988",6047,1549323,"CT"
"989",6049,2960,"CT"
"990",6052,2211,"CT"
"991",6054,9,"CT"
"992",6101,1027,"CT"
