"layer","Class","NCells","label","State","County"
1,7296,14418,NA,"AL","Cherokee County"
1,7297,3231,NA,"AL","Cherokee County"
1,7298,1125,NA,"AL","Cherokee County"
1,7299,63174,NA,"AL","Cherokee County"
1,7905,1400,NA,"AL","Cherokee County"
1,7906,8899,NA,"AL","Cherokee County"
1,7907,6845,NA,"AL","Cherokee County"
1,7908,19828,NA,"AL","Cherokee County"
1,7909,4673,NA,"AL","Cherokee County"
1,7935,6390,NA,"AL","Cherokee County"
1,7936,7015,NA,"AL","Cherokee County"
1,7937,75534,NA,"AL","Cherokee County"
1,7938,675,NA,"AL","Cherokee County"
1,7939,15002,NA,"AL","Cherokee County"
1,7954,72,NA,"AL","Cherokee County"
1,7957,6200,NA,"AL","Cherokee County"
1,7958,5,NA,"AL","Cherokee County"
1,7959,40,NA,"AL","Cherokee County"
1,7970,3,NA,"AL","Cherokee County"
1,7973,1163,NA,"AL","Cherokee County"
1,7974,170623,NA,"AL","Cherokee County"
1,7975,9000,NA,"AL","Cherokee County"
1,7976,971,NA,"AL","Cherokee County"
1,7977,134511,NA,"AL","Cherokee County"
1,7978,138,NA,"AL","Cherokee County"
1,9312,9,NA,"AL","Cherokee County"
1,9314,6,NA,"AL","Cherokee County"
1,9315,988,NA,"AL","Cherokee County"
1,9317,76,NA,"AL","Cherokee County"
1,9318,37,NA,"AL","Cherokee County"
1,9320,13415,NA,"AL","Cherokee County"
1,9321,103408,NA,"AL","Cherokee County"
1,9322,241589,NA,"AL","Cherokee County"
